X,Y,t
1.0,1.0,0.0
1.013807514424364,0.9887155438067645,0.01
1.0195209276496746,0.9800547300912066,0.02
1.043872188583207,0.9897794449089438,0.03
1.0414150398940274,0.9752093572908094,0.04
1.0486920246593305,0.9539096772965461,0.05
1.0511753036485267,0.9418651180080423,0.06
1.0676437860063157,0.9300578564687776,0.07
1.0825293453086662,0.9121241704482792,0.08
1.0886120061067646,0.8933071670054417,0.09
1.0979678693383035,0.880398656961649,0.1
1.1156369278557459,0.8558766250426518,0.11
1.0933583757888194,0.8415253690475134,0.12
1.1048612190035998,0.8159897544132212,0.13
1.1105698948309939,0.7875083631565571,0.14
1.1243705687860381,0.773705691436072,0.15
1.120189375475067,0.7791400405029617,0.16
1.1395542005339352,0.7656539832628965,0.17
1.1220205874090163,0.7403797055981691,0.18
1.1086086543959905,0.7266064589328669,0.19
1.1026445512960499,0.7130138756273748,0.2
1.1089368649693414,0.7200283368065026,0.21
1.1098332257499957,0.7005042638457134,0.22
1.1193124871915243,0.693368753486902,0.23
1.141194791589476,0.6725945140014344,0.24
1.1649428888852797,0.6587623093027243,0.25
1.182713961029835,0.6579931257500552,0.26
1.1986051492438814,0.6487504383102952,0.27
1.2225733668927128,0.6383264818153762,0.28
1.2255647351497592,0.6279317610554009,0.29
1.2491731300521016,0.6257081612173069,0.3
1.2602042199848917,0.6068777803252117,0.31
1.2792188639466766,0.6009178916922492,0.32
1.2731352958320947,0.5807577633178611,0.33
1.2838524307625954,0.5678171981131402,0.34
1.3095387782474674,0.5557506174868342,0.35
1.3219865146146819,0.5353719452402887,0.36
1.3393555489988351,0.5220976503839646,0.37
1.347902013254098,0.5126793301561529,0.38
1.3608758800943852,0.5028556413388999,0.39
1.3772556805108478,0.4965403338274016,0.4
1.4107133987988738,0.48525951118751615,0.41
1.420988072047509,0.47897730225648216,0.42
1.4198573113917605,0.4739465216101,0.43
1.4445980697177212,0.46083941056528804,0.44
1.4702590652564171,0.4558682467794437,0.45
1.4873643773689333,0.443026511283061,0.46
1.4967225533886461,0.4377272582999463,0.47
1.5280707123529795,0.4321135299947008,0.48
1.544660801541024,0.41997492670669906,0.49
1.5612776582660954,0.402011467558767,0.5
1.5951729109604786,0.39750922478108813,0.51
1.6073598640468474,0.390121881806565,0.52
1.609959815434366,0.37865682612638685,0.53
1.6511514896643038,0.3717830892506433,0.54
1.6633563336516493,0.3704377612239897,0.55
1.6875351041556725,0.3635058290101168,0.56
1.7120079511257305,0.3617421631629366,0.57
1.744952388133785,0.35783147387981845,0.58
1.764503139170642,0.3559141429558842,0.59
1.79083824105176,0.3499885919734639,0.6
1.7673887044918923,0.3475548231385807,0.61
1.7897864383517441,0.3492279857027674,0.62
1.7933823731655987,0.34639449769818975,0.63
1.809918904485487,0.3469436614276425,0.64
1.8309544764745762,0.3443514114915183,0.65
1.8595652904018998,0.3414875159309966,0.66
1.9027092751513872,0.33351729080763504,0.67
1.9435439227056837,0.326424436504618,0.68
1.9428632207289098,0.3237458387152035,0.69
1.9423167926787501,0.3219712834230337,0.7
1.9862584519662363,0.3108664767746639,0.71
2.001777655968769,0.3012308649059179,0.72
2.0548988081990944,0.3011525229073669,0.73
2.0738331460238073,0.29791326953039043,0.74
2.0932777247710472,0.29424243565033475,0.75
2.1481531133806255,0.2917624004700455,0.76
2.1785785358948453,0.28355891861917826,0.77
2.2287535549082027,0.2741103681278708,0.78
2.2466003884767716,0.27168499167289867,0.79
2.262978539814484,0.27014222924150605,0.8
2.299884187454839,0.2659191551853608,0.81
2.3469944217565475,0.26836714303837145,0.82
2.3855138280843935,0.26669843453828773,0.83
2.4270681258076405,0.26383790496366555,0.84
2.4751554039836035,0.2649929235925234,0.85
2.5046818028460907,0.2656156533545052,0.86
2.512110584714741,0.2631388181648995,0.87
2.559689741731889,0.25908784298021703,0.88
2.6546528163697007,0.2565514912259734,0.89
2.6669908949253682,0.2542077133270428,0.9
2.704924988425128,0.2581240646625911,0.91
2.7610468961683274,0.25727794364467277,0.92
2.7682367721820427,0.2566840157330065,0.93
2.7592093681738743,0.2521289700213059,0.94
2.820735316063111,0.24961862357721964,0.95
2.85513083607859,0.25201679280658595,0.96
2.905024757662796,0.25522620432401055,0.97
2.904490677291183,0.2574800683354898,0.98
2.9684187609144224,0.25845637521267534,0.99
3.0382914822913873,0.2584864952660733,1.0
3.07677146906734,0.2595694693643697,1.01
3.1380525792926153,0.26185878177436966,1.02
3.1735564111712047,0.2578724418846852,1.03
3.1944683020446267,0.2579203642005698,1.04
3.2311326142868393,0.2551559760017908,1.05
3.2228730424099354,0.2560071794081211,1.06
3.204680798158405,0.25594809159220494,1.07
3.275621655038042,0.2540080523334518,1.08
3.31070146102658,0.25220987781531934,1.09
3.3675594731051746,0.2517852768189955,1.1
3.4532545855252144,0.25429517952961384,1.11
3.5305932386507948,0.2534893413473212,1.12
3.5020894867248424,0.25206375138944664,1.13
3.5975849043469004,0.25317992122160593,1.14
3.6351010322862627,0.2570628762420952,1.15
3.643383331917119,0.25926190101594143,1.16
3.638192451856994,0.2636882276857282,1.17
3.645953784857837,0.2678653391850432,1.18
3.647228555326443,0.26781832472449435,1.19
3.668041297219335,0.2691333404103585,1.2
3.666196959169137,0.26812949654581336,1.21
3.6655749937158295,0.2691966164569438,1.22
3.7427378873590427,0.27296268855175243,1.23
3.7697188167185662,0.277537634269505,1.24
3.752066599890492,0.2783223468283613,1.25
3.7882077093341056,0.2838974627536266,1.26
3.802413046337521,0.2811084928540396,1.27
3.8945832983492146,0.283029890705581,1.28
